estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Chiapas,Bella Vista,72,322,1.237115845,25.25137327,32.4316301,10.67215187,229.2878464,279.775967,4.472222222
Chiapas,Benemerito de las Americas,275,1585,8.880616433,249.9652061,346.8973888,15.56364604,889.4097603,607.9519607,5.763636364
Chiapas,Berriozabal,679,4247,64.92589637,1144.662095,1492.962422,42.46520182,1159.280113,976.481714,6.254786451
Chiapas,Bochil,435,2776,40.48907751,1049.300419,1427.873019,40.51500711,2158.898608,1428.787442,6.381609195
Chiapas,Cacahoatan,491,2464,20.55306153,489.3201575,636.0783153,23.17038863,713.9912662,717.0796303,5.018329939
Chiapas,Catazaja,103,444,4.555248075,118.3287918,160.0696493,28.49879927,1002.848151,1001.436745,4.310679612
Chiapas,Chalchihuitan,35,206,,5.595215875,7.446105392,,146.8959934,100.4059519,5.885714286
Chiapas,Chamula,198,1212,4.464506081,118.5809106,174.3632451,10.23218299,719.9470873,399.6223989,6.121212121
Chiapas,Chanal,117,1273,,20.6372946,28.16483545,,178.7165443,61.45770151,10.88034188
Chiapas,Chapultenango,64,227,0.36901744,27.69965992,33.29297056,4.515631918,226.7488369,407.4029682,3.546875
Chiapas,Chenalho,96,383,1.400451433,83.08379187,97.7238977,10.15703099,383.0918519,708.7604997,3.989583333
Chiapas,Chiapa de Corzo,878,4359,33.89515931,2620.459515,3046.970271,21.59972937,1242.139955,1941.68532,4.964692483
Chiapas,Chiapilla,105,344,1.321808372,26.20213471,39.94424827,10.67351722,328.5795022,322.5472244,3.276190476
Chiapas,Chicoasen,82,312,0.444635768,24.82915014,32.55800437,3.958651783,246.7553679,289.8682725,3.804878049
Chiapas,Chicomuselo,433,1622,11.95979475,367.0546666,452.9486862,20.48190633,474.3021863,775.7033261,3.74595843
Chiapas,Chilon,397,1961,6.72398172,274.1807658,370.6391245,9.524593065,627.8643791,525.0143415,4.939546599
Chiapas,Cintalapa,1191,8262,107.148146,2291.851454,2957.523889,36.02441767,1302.650174,994.3529575,6.937027708
Chiapas,Coapilla,118,553,1.155448051,64.48774866,79.88517089,5.803938371,335.2630457,401.2717043,4.686440678
Chiapas,Comitan de Dominguez,4796,29626,501.3464895,13086.41712,16834.23755,47.00699174,1880.313417,1578.403124,6.177231026
Chiapas,Copainala,312,1474,13.29672678,357.2432946,464.6582606,25.05790514,837.9472862,875.6563029,4.724358974
Chiapas,El Bosque,138,820,1.082854456,52.68676404,64.19813242,3.668206152,209.9137264,217.4733483,5.942028986
Chiapas,El Porvenir,104,531,2.108238983,74.16546732,95.83160919,11.02866176,522.3798848,501.316223,5.105769231
Chiapas,Escuintla,497,2786,47.1374409,706.7984831,969.5667282,46.99832586,1205.179992,966.7052805,5.605633803
Chiapas,Estatal,71868,464792,8283.664179,229090.6616,290766.2286,49.50639915,2063.656165,1737.732079,6.467301163
Chiapas,Francisco Leon,20,87,0.251052849,10.97476382,15.67706155,8.015735911,618.2284562,500.5447495,4.35
Chiapas,Frontera Comalapa,1169,6873,92.02448036,2474.458401,3301.976933,37.19242784,1747.68095,1334.520318,5.879384089
Chiapas,Frontera Hidalgo,91,481,2.695037208,69.52101289,90.38421275,15.56385544,554.5837197,521.9693506,5.285714286
Chiapas,Huehuetan,407,2281,19.22520369,529.4465428,713.0967855,23.41225059,1122.202013,868.4017554,5.604422604
Chiapas,Huitiupan,77,349,1.037483459,13.04942856,18.07152153,8.257588819,143.7449319,143.8357333,4.532467532
Chiapas,Huixtan,31,127,0.390190572,9.31017191,14.19050099,8.534351972,402.3421599,310.3784118,4.096774194
Chiapas,Huixtla,1393,7971,134.6157474,4068.803318,5192.156985,46.91163363,1971.639785,1809.39133,5.72218234
