iter	RMSE
0	255.0352667
1	248.7489746
2	242.9193205
3	237.7378967
4	232.5489034
5	227.7351831
6	222.896336
7	218.2021834
8	214.4010958
9	210.6522363
10	207.0136831
11	203.3507949
12	199.8481397
13	196.7897799
14	193.6579156
15	190.86301
16	187.9753882
17	185.4852159
18	183.1283979
19	180.8108848
20	178.6273334
21	176.664873
22	174.3460361
23	172.7366443
24	170.9314122
25	169.3358117
26	167.7211599
27	166.3283628
28	164.9824811
29	163.8371142
30	162.6167967
31	161.3099843
32	160.2758473
33	159.1448348
34	158.0145325
35	156.7454038
36	155.7310406
37	154.7983547
38	153.954218
39	153.1867603
40	152.4048644
41	151.6287782
42	150.9187432
43	150.1286644
44	149.4777127
45	148.6556232
46	148.0159955
47	147.3937626
48	146.898678
49	146.4207865
50	145.9756717
51	145.5250249
52	145.0910369
53	144.6322402
54	144.1401746
55	143.6365318
56	143.195074
57	142.7407923
58	142.3792081
59	141.8521332
60	141.5790587
61	141.2811207
62	140.876217
63	140.4021064
64	140.1262567
65	139.676194
66	139.2213737
67	138.8002885
68	138.3844606
69	137.9852404
70	137.6229258
71	137.3637058
72	137.0038037
73	136.7343347
74	136.4005968
75	135.9823641
76	135.748449
77	135.4736694
78	135.3733325
79	135.1980926
80	135.0920616
81	134.7331099
82	134.5305013
83	134.2416138
84	133.9247866
85	133.7339108
86	133.6106509
87	133.3343724
88	133.0362546
89	132.8683918
90	132.6436535
91	132.4065471
92	132.1972859
93	132.0175568
94	131.8713007
95	131.6682541
96	131.4718129
97	131.2985628
98	131.0217521
99	130.7372446
100	130.4718082
101	130.3505877
102	130.1632641
103	129.994505
104	129.8119114
105	129.5938335
106	129.4928964
107	129.3533239
108	129.1654602
109	129.058612
110	128.9111064
111	128.7865019
112	128.6864385
113	128.5476084
114	128.3841282
115	128.2409481
116	128.0757517
117	127.9962963
118	127.9302734
119	127.6931121
120	127.483276
121	127.3239671
122	127.2072542
123	127.1514889
124	127.0419481
125	126.956343
126	126.8955347
127	126.6541776
128	126.4714311
129	126.3255632
130	126.1842648
131	126.0738563
132	125.8812713
133	125.6961866
134	125.4726653
135	125.2143012
136	125.0562568
137	124.8316869
138	124.7082155
139	124.5934444
140	124.3782104
141	124.2339419
142	124.1062127
143	124.011573
144	123.9296229
145	123.7639965
146	123.6652605
147	123.4444578
148	123.2624559
149	123.1615783
150	123.0019536
151	122.8654875
152	122.6811877
153	122.5417338
154	122.4745336
155	122.3488309
156	122.2466864
157	122.1775631
158	122.0617961
159	121.9922422
160	121.8747949
161	121.7962311
162	121.6713791
163	121.5067711
164	121.3503337
165	121.2903898
166	121.2220894
167	121.2078281
168	121.1286147
169	120.9615288
170	120.8674733
171	120.735772
172	120.6520091
173	120.5713305
174	120.4582385
175	120.3543982
176	120.200499
177	120.1091295
178	120.0017054
179	119.9081111
180	119.8220099
181	119.7499791
182	119.6538802
183	119.4882661
184	119.4277146
185	119.2529508
186	119.0102904
187	118.9558697
188	118.8689675
189	118.7626299
190	118.6279582
191	118.4749543
192	118.3599876
193	118.2181679
194	118.0829361
195	118.0114335
196	117.9564691
197	117.8382039
198	117.6931033
199	117.5884559
200	117.5315672
201	117.4534788
202	117.3353501
203	117.2295858
204	117.1025241
205	116.9563487
206	116.8781783
207	116.7870375
208	116.688706
209	116.6173058
210	116.5703578
211	116.499871
212	116.3288139
213	116.2595569
214	116.1939214
215	116.1534456
216	116.0983031
217	115.9922844
218	115.9435871
219	115.8617553
220	115.7089947
221	115.646625
222	115.5988014
223	115.5085145
224	115.4012228
225	115.2837422
226	115.1770033
227	115.0520592
228	114.9676353
229	114.8944831
230	114.7514208
231	114.6445562
232	114.5881427
233	114.4593932
234	114.3822811
235	114.2509792
236	114.1131278
237	114.0560406
238	113.9931521
239	113.9136147
240	113.8214953
241	113.6780856
242	113.5683405
243	113.5091572
244	113.3756687
245	113.243968
246	112.9840924
247	112.839009
248	112.7848385
249	112.7448803
250	112.6924223
251	112.5916921
252	112.5210543
253	112.3953814
254	112.2617635
255	112.2098888
256	112.1458861
257	112.0731048
258	112.0357292
259	111.940458
260	111.8613018
261	111.7693281
262	111.7163394
263	111.6376162
264	111.5247273
265	111.506933
266	111.388608
267	111.2461274
268	111.1366208
269	111.058533
270	111.004947
271	110.9112058
272	110.7942327
273	110.6850421
274	110.4500346
275	110.3625537
276	110.3251206
277	110.2690867
278	110.160198
279	110.1274572
280	110.0501222
281	110.0177093
282	109.9277874
283	109.8612832
284	109.7612724
285	109.6815784
286	109.5986916
287	109.5251847
288	109.4995712
289	109.4219883
290	109.3766541
291	109.2802949
292	109.2403256
293	109.1971438
294	108.9746515
295	108.8922909
296	108.781194
297	108.7126414
298	108.6449897
299	108.578165
300	108.4667638
301	108.3777856
302	108.1766087
303	108.1381219
304	107.9692962
305	107.911455
306	107.8682465
307	107.8058286
308	107.686955
309	107.5483702
310	107.5342412
311	107.4999436
312	107.3048153
313	107.2508619
314	107.0956256
315	107.0486583
316	106.9782477
317	106.953015
318	106.7703522
319	106.6777185
320	106.6500713
321	106.5566166
322	106.4722533
323	106.4109054
324	106.3072083
325	106.2173951
326	106.1306068
327	106.0475246
328	106.0393978
329	105.9520142
330	105.8642467
331	105.8089305
332	105.7310043
333	105.672652
334	105.6485796
335	105.5708271
336	105.5045798
337	105.4218116
338	105.4005232
339	105.3614103
340	105.3523555
341	105.3259396
342	105.2786515
343	105.2697794
344	105.2098886
345	105.159974
346	105.1162439
347	105.0703846
348	105.0503547
349	104.9255187
350	104.8554567
351	104.7774732
352	104.71093
353	104.6528932
354	104.597833
355	104.532357
356	104.4149901
357	104.3960904
358	104.3112184
359	104.2632206
360	104.2036757
361	104.1441918
362	104.0946654
363	104.0364962
364	104.0189824
365	103.9755385
366	103.9389266
367	103.8057253
368	103.795975
369	103.7219222
370	103.6943266
371	103.6849108
372	103.5658678
373	103.5158136
374	103.4484329
375	103.3976106
376	103.3420574
377	103.3056198
378	103.2430644
379	103.215013
380	103.1324101
381	103.0689091
382	103.0010221
383	102.9112072
384	102.847109
385	102.8379547
386	102.7858397
387	102.7393879
388	102.6740503
389	102.5870627
390	102.5120159
391	102.5059603
392	102.4624616
393	102.4220794
394	102.3853877
395	102.2673294
396	102.2043745
397	102.1312285
398	102.1242446
399	102.0942007
400	102.0282361
401	101.9695052
402	101.9299225
403	101.9101703
404	101.8689701
405	101.8201498
406	101.7074954
407	101.6735522
408	101.6530727
409	101.5589711
410	101.5278239
411	101.4786735
412	101.3670723
413	101.3294253
414	101.2832776
415	101.202039
416	101.1387048
417	101.1216171
418	101.0512562
419	101.0077784
420	100.9807571
421	100.9312316
422	100.8926862
423	100.8453425
424	100.8036471
425	100.7649883
426	100.7460548
427	100.6793203
428	100.6210552
429	100.6002903
430	100.5627328
431	100.5552958
432	100.5218396
433	100.4633801
434	100.4007354
435	100.3721112
436	100.2786542
437	100.2333822
438	100.1495015
439	100.1072633
440	100.0674241
441	100.0238706
442	100.0167144
443	99.9801281
444	99.90340743
445	99.86971903
446	99.83485317
447	99.73445408
448	99.70097032
449	99.65627492
450	99.64497542
451	99.59063719
452	99.55755507
453	99.50000428
454	99.44019499
455	99.37899844
456	99.34698297
457	99.18972193
458	99.1102131
459	99.01582519
460	98.99690054
461	98.94988768
462	98.91866705
463	98.75994892
464	98.7290293
465	98.66624456
466	98.63949766
467	98.60143549
468	98.57428681
469	98.542518
470	98.49752134
471	98.41395264
472	98.38384472
473	98.3545045
474	98.32096803
